"","OBJECTID_1","COUNT","AREA","MEAN","SUM","cov","Species","SiteTransect","Site","Transect"
"538",16,541,3.38125e-05,20,20,"ForestLoss","Allocebus_trichotis","Ambodivoara_4","Ambodivoara",4
"539",17,392,2.45e-05,3,3,"ForestLoss","Allocebus_trichotis","AmbodivohitraKobahina_1","AmbodivohitraKobahina",1
"540",18,465,2.90625e-05,33,33,"ForestLoss","Allocebus_trichotis","AmbodivohitraKobahina_2","AmbodivohitraKobahina",2
"541",19,514,3.2125e-05,16,16,"ForestLoss","Allocebus_trichotis","AmbodivohitraKobahina_3","AmbodivohitraKobahina",3
"542",20,476,2.975e-05,20,20,"ForestLoss","Allocebus_trichotis","Befamatra_2","Befamatra",2
"543",21,617,3.85625e-05,1,1,"ForestLoss","Allocebus_trichotis","Ambodimandresy_1","Ambodimandresy",1
"544",22,732,4.575e-05,55,55,"ForestLoss","Allocebus_trichotis","Antanambe_2","Antanambe",2
"545",23,511,3.19375e-05,12,12,"ForestLoss","Allocebus_trichotis","Antanambe_3","Antanambe",3
"546",24,506,3.1625e-05,30,30,"ForestLoss","Allocebus_trichotis","Androfiabe_2","Androfiabe",2
"547",25,634,3.9625e-05,65,65,"ForestLoss","Allocebus_trichotis","Ambodihasina_2","Ambodihasina",2
"548",26,414,2.5875e-05,23,23,"ForestLoss","Allocebus_trichotis","Antanambe_1","Antanambe",1
"549",27,662,4.1375e-05,21,21,"ForestLoss","Allocebus_trichotis","Ambavala_1","Ambavala",1
"550",28,550,3.4375e-05,37,37,"ForestLoss","Allocebus_trichotis","Ambavala_2","Ambavala",2
"551",29,782,4.8875e-05,34,34,"ForestLoss","Allocebus_trichotis","Ambavala_3","Ambavala",3
"552",1,133,8.3125e-06,0,0,"ForestLoss","Avahi_laniger","Ambodivoara_1","Ambodivoara",1
"553",2,111,6.9375e-06,0,0,"ForestLoss","Avahi_laniger","Ambodihasina_1","Ambodihasina",1
"554",3,90,5.625e-06,0,0,"ForestLoss","Avahi_laniger","Ambodimandresy_2","Ambodimandresy",2
"555",4,151,9.4375e-06,5,5,"ForestLoss","Avahi_laniger","Ambodivoara_3","Ambodivoara",3
"556",5,82,5.125e-06,0,0,"ForestLoss","Avahi_laniger","Ambodivoara_2","Ambodivoara",2
"557",6,149,9.3125e-06,5,5,"ForestLoss","Avahi_laniger","Androfiabe_1","Androfiabe",1
"558",7,101,6.3125e-06,8,8,"ForestLoss","Avahi_laniger","Ambodimandresy_3","Ambodimandresy",3
